venue_1,venue_2,season_0,season_1,season_2,season_3,season_4,average_score_before_match_team2,win_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,win_percent_diff,ELO_before_match_team2,ELO_before_diff,draw_percent_before_team2,is_opponent_big6,average_score_before_match_team1,average_score_before_match_diff,Cluster,match_type,win_rate_type
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.3580408561186064,0.0,0.6666666666666666,0.4,0.5,0.1,1.1666666666666665,-0.20201823013167092,-0.25301752515353676,0.3333333333333333,0.0,2.0,1.6666666666666667,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5540444068239088,0.5,0.25,0.6,0.2,0.2,0.12499999999999997,0.22163096985915717,-0.3738075893997377,0.25,0.0,2.25,0.5,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08164687127340489,0.4,0.4,0.5,0.0,0.5,0.5,0.09857951101926676,-0.23091461043653855,0.2,0.0,2.4,1.0,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3515883201594073,0.4,0.2,0.7,0.1,0.2,0.9999999999999999,0.05662842901539589,-0.11293041202446397,0.4,0.0,3.0,1.4,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.18829457761259716,0.4,0.6,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.5,-0.17590219129663218,0.039779889741289015,0.0,0.0,2.6,1.4,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.8079432709286098,0.0,1.0,0.5,0.5,0.0,1.5000000000000002,-0.9147554299342651,0.489052982232575,0.0,0.0,2.6,2.6,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8914712179314114,0.6,0.2,0.4,0.4,0.2,0.0,0.8274462428938997,-0.307040906797608,0.2,1.0,2.6,0.6000000000000001,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8914712179314114,0.6,0.2,0.2,0.2,0.6,0.0,0.4609156824675995,-0.03746980103743321,0.2,1.0,2.6,0.6000000000000001,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.1614126668174136,0.6,0.0,0.5,0.4,0.1,-0.5,0.7259716104407534,-0.2191117438205679,0.4,0.0,2.0,-0.2000000000000001,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.4582360264985992,0.2,0.4,0.0,0.0,0.0,1.0000000000000002,-0.18841306091988136,0.34239419116034375,0.4,0.0,2.4,1.4,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.18829457761259716,0.4,0.6,0.75,0.0,0.25,0.5,-0.260264181246222,0.5623010469660623,0.0,0.0,2.4,1.2,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6215297690454094,0.4,0.0,0.6,0.4,0.0,0.5,0.9633590559695429,-0.0971991311035928,0.6,0.0,2.4,0.5999999999999999,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8914712179314114,0.6,0.2,0.3,0.3,0.4,-0.5,1.3017602149538632,-0.30893971653552144,0.2,1.0,2.0,0.0,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.4313541157034155,0.8,0.2,0.3,0.0,0.7,-1.0,1.3762882852614615,-0.429843769042406,0.0,1.0,2.0,-0.3999999999999999,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.7281774753846012,0.2,0.6,0.8,0.2,0.0,0.0,-0.7906872130482846,0.7556782123537453,0.2,0.0,1.6,0.8,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8914712179314114,0.6,0.2,0.6,0.3,0.1,-0.9999999999999998,0.8951541885594817,-0.0028329529477388394,0.2,0.0,1.6,-0.3999999999999999,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.7281774753846012,0.2,0.6,1.0,0.0,0.0,0.0,-0.6048161217337783,0.9322387952928697,0.2,0.0,1.6,0.8,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.7281774753846012,0.2,0.6,0.5,0.3,0.2,0.4999999999999997,-0.1850007240643708,0.706885503339327,0.2,0.0,2.0,1.2,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.18829457761259716,0.4,0.6,0.5,0.4,0.1,0.5,-1.2648953564274064,1.4379749759310938,0.0,0.0,2.6,1.4,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08164687127340489,0.4,0.4,0.5,0.4,0.1,0.9999999999999999,0.24087933492944008,0.6128958883485789,0.2,0.0,3.0,1.6,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08164687127340489,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0.5,-1.1173134166845833,1.4094465642973886,0.2,0.0,2.6,1.2000000000000002,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.1614126668174136,0.6,0.0,0.4,0.4,0.2,0.0,1.3073541442890717,0.08006414864813394,0.4,1.0,2.6,0.3999999999999999,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08164687127340489,0.4,0.4,0.2,0.2,0.6,-2.7755575615628914e-16,0.7290510002619517,0.35425953891502776,0.2,1.0,2.0,0.6000000000000001,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8914712179314114,0.6,0.2,0.5,0.4,0.1,-0.9999999999999998,-0.8429657349044751,1.1719496522345638,0.2,0.0,1.6,-0.3999999999999999,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.4582360264985992,0.2,0.4,0.7,0.2,0.1,0.0,-0.8738547749822151,1.192237560107439,0.4,0.0,1.6,0.6000000000000001,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6215297690454094,0.6,0.4,0.4,0.2,0.4,-0.9999999999999998,1.031471093550795,0.14407459336547593,0.0,1.0,1.4,-0.4000000000000001,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8914712179314114,0.6,0.2,0.2,0.1,0.7,-0.9999999999999998,2.7158007757963736,-0.6603067634265654,0.2,1.0,1.4,-0.6000000000000001,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.2680603731566056,0.0,0.6,0.6,0.0,0.4,0.5,-1.2355438042471243,1.3586876980418674,0.4,0.0,1.4,1.0,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.7012955645894179,0.8,0.0,0.3,0.3,0.4,-1.5000000000000002,3.356845247301871,-1.2192445137721533,0.2,1.0,1.4,-1.2000000000000002,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.2411784623614217,1.0,0.0,0.5,0.5,0.0,-2.5,1.3021209637561488,-0.04944279061572469,0.0,0.0,1.0,-2.0,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.18829457761259716,0.4,0.6,0.8,0.2,0.0,-1.0,-0.17196674552882182,0.7079983396790881,0.0,0.0,1.0,-0.1999999999999999,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.18829457761259716,0.4,0.6,0.8,0.0,0.2,-1.0,-0.4921948245348009,0.8924677238603433,0.0,0.0,1.0,-0.1999999999999999,2,Strong Opponent,High Win Rate
