result,venue,win_before_team1,win_before_team2,draw_before_team2,lose_before_team1,lose_before_team2,history_team1_lose_team2,is_opponent_big6
L,Away,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.125,1
W,Home,0.5,0.4,0.0,0.5,0.6,0.0,0
W,Away,0.6,0.4,0.0,0.4,0.6,0.125,0
W,Home,0.6,0.4,0.2,0.4,0.4,0.1875,0
W,Home,0.6,0.2,0.0,0.4,0.8,0.1,0
D,Away,0.8,0.0,0.2,0.2,0.8,0.2142857142857142,0
W,Home,0.8,0.4,0.2,0.0,0.4,0.0,1
W,Away,0.8,0.0,0.6,0.0,0.4,0.0,0
L,Away,0.8,0.2,0.4,0.0,0.4,0.0833333333333333,0
L,Home,0.6,0.8,0.0,0.2,0.2,0.2222222222222222,1
W,Home,0.4,0.4,0.4,0.4,0.2,0.5,0
W,Away,0.6,0.2,0.6,0.4,0.2,0.2105263157894736,1
D,Away,0.6,0.0,0.6,0.4,0.4,0.0,0
W,Home,0.4,0.2,0.6,0.4,0.2,0.5,0
W,Home,0.6,0.8,0.2,0.2,0.0,0.0555555555555555,0
W,Away,0.8,0.4,0.2,0.0,0.4,0.0,0
D,Home,0.8,0.2,0.8,0.0,0.0,0.2105263157894736,0
W,Away,0.6,0.2,0.6,0.0,0.2,0.1875,0
W,Home,0.8,0.2,0.6,0.0,0.2,0.1764705882352941,0
D,Away,0.8,0.4,0.2,0.0,0.4,0.0526315789473684,0
L,Home,0.6,0.8,0.2,0.0,0.0,0.3684210526315789,1
L,Away,0.4,0.8,0.2,0.2,0.0,0.2631578947368421,1
W,Home,0.4,0.6,0.4,0.4,0.0,0.2,1
W,Home,0.4,0.0,0.6,0.4,0.4,0.1538461538461538,0
W,Away,0.4,0.4,0.6,0.4,0.0,0.3333333333333333,0
W,Home,0.6,0.2,0.0,0.4,0.8,0.0,0
W,Away,0.8,0.2,0.2,0.2,0.6,0.3333333333333333,0
W,Home,1.0,0.4,0.0,0.0,0.6,0.2,0
D,Away,1.0,0.4,0.2,0.0,0.4,0.0909090909090909,0
W,Home,0.8,0.4,0.4,0.0,0.2,0.0,0
L,Away,0.8,0.8,0.0,0.0,0.2,0.0,1
L,Away,0.6,0.2,0.2,0.2,0.6,0.0,0
D,Home,0.4,0.6,0.0,0.4,0.4,0.1764705882352941,1
L,Away,0.2,0.2,0.6,0.4,0.2,0.1764705882352941,0
W,Home,0.2,0.2,0.4,0.6,0.4,0.1176470588235294,0
D,Away,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,1
W,Home,0.0,1.0,0.0,0.0,0.0,0.0,0
W,Away,0.5,0.5,0.0,0.0,0.5,0.2222222222222222,0
W,Home,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1666666666666666,0
D,Away,0.75,0.25,0.5,0.0,0.25,0.1428571428571428,0
L,Home,0.6,0.4,0.2,0.0,0.4,0.125,0
L,Away,0.6,0.8,0.0,0.2,0.2,0.3,1
W,Home,0.4,0.0,0.6,0.4,0.4,0.0833333333333333,0
W,Away,0.4,0.8,0.2,0.4,0.0,0.1666666666666666,1
W,Home,0.4,0.2,0.6,0.4,0.2,0.1875,0
L,Home,0.6,0.4,0.2,0.4,0.4,0.1111111111111111,0
W,Away,0.6,0.2,0.2,0.4,0.6,0.0,0
W,Away,0.8,0.4,0.6,0.2,0.0,0.2,0
L,Home,0.8,0.2,0.4,0.2,0.4,0.05,1
W,Away,0.6,0.2,0.6,0.4,0.2,0.05,0
W,Home,0.6,0.0,0.6,0.4,0.4,0.1111111111111111,0
L,Away,0.8,0.6,0.4,0.2,0.0,0.4,1
W,Home,0.6,0.0,0.6,0.4,0.4,0.3333333333333333,1
D,Away,0.6,0.2,0.4,0.4,0.4,0.1,0
W,Away,0.6,0.2,0.6,0.2,0.2,0.0769230769230769,0
