result,venue,season,win_percent_diff,draw_percent_before_team2,draw_percent_diff,lose_percent_before_team1,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team2,average_score_before_match_diff
W,Away,2013-2014,-0.2,0.4,0.0,0.4,0.2,0.8333333333333334,0.1666666666666666,0.0,0,1495.5693142150226,94.97496019723599,1.6,-0.6000000000000001
W,Home,2013-2014,0.0,0.2,0.2,0.4,0.6,0.75,0.25,0.0,0,1354.1507343606722,291.813785142916,0.8,0.19999999999999996
W,Away,2013-2014,0.2,0.6,-0.39999999999999997,0.4,0.2,0.0,0.0,0.0,0,1345.6510874532073,312.0974278341166,1.2,0.19999999999999996
W,Away,2013-2014,0.39999999999999997,0.4,-0.4,0.4,0.4,0.75,0.0,0.25,0,1229.6972709295408,481.6594800090986,1.0,0.8
L,Home,2013-2014,0.20000000000000007,0.2,-0.2,0.2,0.2,0.4285714285714285,0.4285714285714285,0.1428571428571428,1,1605.9026160525689,164.2778930945542,2.0,0.3999999999999999
W,Home,2013-2014,0.8,0.4,-0.4,0.2,0.6,0.8,0.2,0.0,0,1407.4982375085149,317.6671813148207,0.4,2.0
L,Away,2013-2014,0.0,0.2,-0.2,0.2,0.0,0.4285714285714285,0.2857142857142857,0.2857142857142857,1,1977.001673818199,-241.4562210806423,2.6,-0.20000000000000018
W,Home,2013-2014,0.6,0.2,-0.2,0.4,0.8,0.0,1.0,0.0,0,1150.543857785776,524.957970105421,0.2,1.6
L,Away,2013-2014,0.6,0.2,-0.2,0.4,0.8,0.8571428571428571,0.1428571428571428,0.0,0,1293.379708130106,385.6055854340641,0.2,1.6
D,Home,2013-2014,0.2,0.0,0.0,0.6,0.8,0.8571428571428571,0.1428571428571428,0.0,0,1041.4453176786214,631.4154020548474,0.6,0.6
D,Away,2013-2014,-0.19999999999999996,0.2,0.0,0.4,0.2,0.7142857142857143,0.1428571428571428,0.1428571428571428,1,2009.762845939816,-360.6164887444852,2.0,-0.6000000000000001
W,Away,2013-2014,-0.39999999999999997,0.0,0.4,0.4,0.4,1.0,0.0,0.0,0,1194.7270156243808,434.9925322488964,1.8,-0.8
W,Away,2013-2014,0.4,0.6,-0.19999999999999996,0.2,0.4,0.5714285714285714,0.2857142857142857,0.1428571428571428,0,1303.1181561257013,395.93311960749634,0.6,1.0
L,Home,2013-2014,-0.4,0.2,0.2,0.2,0.0,0.5714285714285714,0.1428571428571428,0.2857142857142857,1,1996.3336874513568,-217.90787962232525,2.6,-1.0
W,Away,2013-2014,-0.19999999999999996,0.0,0.4,0.2,0.4,0.8,0.2,0.0,0,1355.9009774980702,403.10480867486535,1.8,-0.19999999999999996
L,Home,2013-2014,0.0,0.2,0.0,0.2,0.2,0.2857142857142857,0.1428571428571428,0.5714285714285714,1,2190.6509795290485,-363.35340089192005,2.0,0.0
W,Home,2013-2014,0.19999999999999996,0.2,-0.2,0.4,0.4,0.8571428571428571,0.1428571428571428,0.0,0,1360.2702158813076,457.4099773442483,1.4,0.40000000000000013
W,Away,2013-2014,0.19999999999999996,0.0,0.0,0.4,0.6,0.4285714285714285,0.2857142857142857,0.2857142857142857,0,1545.4651226148142,278.0811219630748,1.2,0.6000000000000001
L,Away,2013-2014,-0.20000000000000007,0.0,0.0,0.4,0.2,0.4285714285714285,0.2857142857142857,0.2857142857142857,0,1850.647218519967,50.91075266709936,2.4,-0.5999999999999999
W,Home,2013-2014,0.39999999999999997,0.0,0.0,0.4,0.8,0.8,0.0,0.2,0,1093.7852850776678,775.7286764330565,0.6,1.2000000000000002
L,Home,2013-2014,0.19999999999999996,0.2,-0.2,0.4,0.4,0.8571428571428571,0.1428571428571428,0.0,0,1017.60361619638,852.9761654488109,1.4,0.40000000000000013
W,Home,2013-2014,0.39999999999999997,0.2,-0.2,0.4,0.6,1.0,0.0,0.0,0,1362.817125757579,445.72000718631284,0.8,1.0
D,Away,2013-2014,0.19999999999999996,0.2,-0.2,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1711.3617788215029,102.52841310233043,1.4,0.40000000000000013
L,Home,2014-2015,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.0,0,1500.0,0.0,0.0,0.0
