result,venue,season,win_percent_before_team2,win_percent_diff,draw_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team1,average_score_before_match_team2,average_score_before_match_diff
W,Home,2003-2004,0.2,0.39999999999999997,0.6,0.2,0.8571428571428571,0.0,0.1428571428571428,0,1521.4153030963064,479.401430637864,2.2,1.2,1.0000000000000002
W,Away,2003-2004,0.6,0.0,0.2,0.2,0.7142857142857143,0.2857142857142857,0.0,0,1376.0125556821476,630.0142430650851,2.2,2.0,0.20000000000000018
W,Home,2003-2004,0.0,0.8,0.6,0.4,1.0,0.0,0.0,1,1348.4959824343414,730.5871475667491,2.6,0.6,2.0
W,Away,2003-2004,0.2,0.6000000000000001,0.6,0.2,1.0,0.0,0.0,0,1215.3689637830385,864.6324645939626,2.6,1.2,1.4000000000000001
W,Home,2003-2004,0.2,0.6000000000000001,0.4,0.4,0.5714285714285714,0.1428571428571428,0.2857142857142857,0,1491.6286674811683,662.8593126103431,2.6,1.0,1.6
W,Away,2003-2004,0.8,0.19999999999999996,0.2,0.0,0.4285714285714285,0.5714285714285714,0.0,1,2054.142574248477,101.96144859584274,3.0,2.6,0.3999999999999999
W,Home,2003-2004,0.4,0.6,0.0,0.6,0.5714285714285714,0.1428571428571428,0.2857142857142857,0,1614.1504416291837,582.1199629108805,3.0,1.2,1.8
W,Away,2003-2004,0.2,0.8,0.4,0.4,0.4,0.2,0.4,0,1275.2543973251277,923.1325076964968,3.0,1.0,2.0
W,Home,2003-2004,0.0,1.0,0.4,0.6,0.4,0.6,0.0,0,1392.6621966474509,880.3573436026181,3.0,0.4,2.6
D,Home,2003-2004,0.2,0.8,0.4,0.4,0.4285714285714285,0.2857142857142857,0.2857142857142857,1,1930.506940883277,342.90367490319113,3.0,1.0,2.0
W,Home,2003-2004,0.6,0.20000000000000007,0.2,0.2,0.375,0.5,0.125,1,1689.136038781686,565.3730417890986,2.6,2.0,0.6000000000000001
D,Away,2003-2004,0.4,0.4,0.2,0.4,0.5714285714285714,0.2857142857142857,0.1428571428571428,0,1655.4270897632368,601.8692739011813,2.6,1.4,1.2000000000000002
W,Home,2003-2004,0.6,0.0,0.2,0.2,0.4285714285714285,0.1428571428571428,0.4285714285714285,0,1199.861342048712,1080.9182562543645,2.2,2.0,0.20000000000000018
D,Away,2003-2004,0.0,0.6,0.2,0.8,0.5714285714285714,0.4285714285714285,0.0,1,1254.134732666435,1026.8429468330714,2.2,0.2,2.0
D,Home,2003-2004,0.0,0.4,0.6,0.4,1.0,0.0,0.0,0,1544.3083495567205,761.5342199414597,1.8,0.6,1.2000000000000002
D,Away,2003-2004,0.6,-0.19999999999999996,0.4,0.0,0.0,1.0,0.0,0,1245.09234815268,1036.3664595497182,1.8,2.2,-0.40000000000000013
W,Away,2003-2004,0.4,-0.2,0.4,0.2,0.8,0.2,0.0,0,1513.8461938676728,792.4846929880187,1.4,1.6,-0.20000000000000018
W,Home,2003-2004,0.2,0.2,0.4,0.4,0.6,0.4,0.0,0,1226.628446702928,1141.5565527001538,1.8,1.0,0.8
W,Away,2004-2005,0.0,0.0,0.0,0.0,0.625,0.125,0.25,0,1500.0,0.0,0.0,0.0,0.0
W,Home,2004-2005,0.0,1.0,1.0,0.0,0.875,0.0,0.125,0,1500.0,43.75,3.0,1.0,2.0
W,Home,2004-2005,0.0,1.0,0.5,0.5,0.5,0.1666666666666666,0.3333333333333333,0,1472.1098902902888,104.44281274256855,3.0,0.5,2.5
W,Away,2004-2005,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0,1471.7549208348912,135.77841382983274,3.0,0.6666666666666666,2.3333333333333335
W,Away,2004-2005,0.25,0.75,0.25,0.5,0.8333333333333334,0.1666666666666666,0.0,0,1466.5878720464293,200.9727005111174,3.0,1.0,2.0
D,Home,2004-2005,0.6,0.4,0.2,0.2,0.5,0.5,0.0,0,1569.060359627574,165.06736840002918,3.0,2.0,1.0
W,Away,2004-2005,0.4,0.4,0.0,0.6,1.0,0.0,0.0,1,1510.5591092575687,212.51080710516385,2.6,1.2,1.4000000000000001
W,Home,2004-2005,0.4,0.4,0.4,0.2,0.625,0.125,0.25,0,1530.6476495771703,240.7126179370248,2.6,1.6,1.0
W,Home,2004-2005,0.2,0.6000000000000001,0.8,0.0,0.75,0.25,0.0,0,1546.7948643587722,243.32502220615743,2.6,1.4,1.2000000000000002
L,Away,2004-2005,0.4,0.4,0.6,0.0,0.375,0.375,0.25,1,1573.0689951087352,231.87887266388248,2.6,1.8,0.8
D,Home,2004-2005,0.0,0.6,0.4,0.6,0.625,0.125,0.25,0,1324.6350976269046,464.68530868903645,2.0,0.4,1.6
D,Away,2004-2005,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0,1401.1041594834226,366.4396550137549,2.0,2.0,0.0
W,Away,2004-2005,0.2,0.2,0.0,0.8,0.5,0.5,0.0,1,1419.2252091224857,367.90926000471745,1.6,0.6,1.0
D,Home,2004-2005,0.0,0.4,0.4,0.6,1.0,0.0,0.0,0,1372.7727764841104,470.1508555681944,1.6,0.4,1.2000000000000002
L,Away,2004-2005,0.4,-0.2,0.2,0.4,0.4444444444444444,0.4444444444444444,0.1111111111111111,1,1523.6528580655,297.40059480448804,1.2,1.4,-0.19999999999999996
W,Home,2004-2005,0.2,0.0,0.4,0.4,0.75,0.25,0.0,0,1419.7428759710724,391.75384767625405,1.2,1.0,0.19999999999999996
D,Home,2004-2005,0.8,-0.4,0.2,0.0,0.5,0.5,0.0,1,1941.3651337983056,-121.56386867568153,1.6,2.6,-1.0
W,Away,2004-2005,0.4,0.0,0.4,0.2,0.0,1.0,0.0,0,1536.7430165977012,291.46517469427954,1.6,1.6,0.0
W,Home,2004-2005,0.2,0.2,0.2,0.6,0.8571428571428571,0.1428571428571428,0.0,0,1358.5140965119858,522.3574767254452,1.6,0.8,0.8
W,Away,2004-2005,0.0,0.6,0.6,0.4,0.5,0.375,0.125,0,1400.4284100041607,483.97669212071537,2.0,0.6,1.4
